"layer","database","host_module","n_sig_pathways"
"Genetics","GO_BP","Module_41__thermogenesis_induced",4
"Genetics","GO_BP","Module_46__response_insulin",4
"Genetics","GO_BP","Module_92__maintenance_population",4
"Genetics","Reactome","Module_1__receptor_secretion",4
"Genetics","Reactome","Module_54__transport_anion",4
"Epigenetics","GO_BP","Module_111__osteoblast_proliferation",3
"Epigenetics","GO_BP","Module_118__cascade_p38mapk",3
"Epigenetics","GO_BP","Module_120__colony_factor",3
"Epigenetics","GO_BP","Module_123__fibroblast_proliferation",3
"Epigenetics","GO_BP","Module_129__translocation_lipid",3
"Epigenetics","GO_BP","Module_61__activity_factor",3
"Epigenetics","GO_BP","Module_69__response_metal",3
"Epigenetics","GO_BP","Module_78__pruning_synapse",3
"Epigenetics","GO_BP","Module_83__response_gonadotropin",3
"Epigenetics","GO_BP","Module_85__response_acidic",3
"Epigenetics","GO_BP","Module_94__angiotensin_response",3
"Epigenetics","KEGG","Module_17__differentiation_immune",3
"Epigenetics","KEGG","Module_20__glycosylation_biosynthetic",3
"Epigenetics","KEGG","Module_23__transport_calcium",3
"Epigenetics","Reactome","Module_21__transport_lipid",3
"Epigenetics","Reactome","Module_37__morphogenesis_development",3
"Genetics","GO_BP","Module_124__factor_growth",3
"Genetics","GO_BP","Module_129__translocation_lipid",3
"Genetics","GO_BP","Module_210__aminoacylation_activation",3
"Genetics","GO_BP","Module_50__apoptotic_neuron",3
"Genetics","KEGG","Module_195__cycle_repair",3
"Genetics","KEGG","Module_20__glycosylation_biosynthetic",3
"Genetics","Reactome","Module_232__expression_activation",3
"Genetics","Reactome","Module_33__development_morphogenesis",3
"Genetics","Reactome","Module_40__signal_transduction",3
"Epigenetics","GO_BP","Module_101__epinephrine_response",2
"Epigenetics","GO_BP","Module_102__maturation_synapse",2
"Epigenetics","GO_BP","Module_109__aggregation_cartilage",2
"Epigenetics","GO_BP","Module_110__potassium_response",2
"Epigenetics","GO_BP","Module_113__respiratory_exchange",2
"Epigenetics","GO_BP","Module_117__division_nuclear",2
"Epigenetics","GO_BP","Module_128__catabolic_receptor",2
"Epigenetics","GO_BP","Module_135__interleukin_production",2
"Epigenetics","GO_BP","Module_138__generation",2
"Epigenetics","GO_BP","Module_139__anoikis",2
"Epigenetics","GO_BP","Module_141__interleukin_response",2
"Epigenetics","GO_BP","Module_148__behavior_mating",2
"Epigenetics","GO_BP","Module_153__hormone_parathyroid",2
"Epigenetics","GO_BP","Module_154__lipoprotein_localization",2
"Epigenetics","GO_BP","Module_156__protein_signal",2
"Epigenetics","GO_BP","Module_157__mediated_phosphate",2
"Epigenetics","GO_BP","Module_164__entry_symbiont",2
"Epigenetics","GO_BP","Module_177__interleukin_production",2
"Epigenetics","GO_BP","Module_184__metabolic_alkanesulfonate",2
"Epigenetics","GO_BP","Module_191__early_endosome",2
"Epigenetics","GO_BP","Module_53__response_stimulus",2
"Epigenetics","GO_BP","Module_62__dietary_energy",2
"Epigenetics","GO_BP","Module_74__differentiation_myoblast",2
"Epigenetics","GO_BP","Module_82__amyloid_response",2
"Epigenetics","GO_BP","Module_86__apoptotic_involved",2
"Epigenetics","KEGG","Module_21__transport_lipid",2
"Epigenetics","KEGG","Module_3__growth_development",2
"Epigenetics","KEGG","Module_8__chemotaxis_leukocyte",2
"Epigenetics","Reactome","Module_13__development_neuron",2
"Epigenetics","Reactome","Module_16__response_coagulation",2
"Epigenetics","Reactome","Module_23__transport_calcium",2
"Epigenetics","Reactome","Module_32__development_morphogenesis",2
"Epigenetics","Reactome","Module_54__transport_anion",2
"Genetics","GO_BP","Module_164__entry_symbiont",2
"Genetics","GO_BP","Module_200__cortical_cytoskeleton",2
"Genetics","GO_BP","Module_201__polymerase_transcription",2
"Genetics","GO_BP","Module_204__alpha_interferon",2
"Genetics","GO_BP","Module_207__autophagy",2
"Genetics","GO_BP","Module_220__peptidyl_phosphorylation",2
"Genetics","GO_BP","Module_42__remodeling_tissue",2
"Genetics","GO_BP","Module_53__response_stimulus",2
"Genetics","GO_BP","Module_56__response_vitamin",2
"Genetics","GO_BP","Module_65__protein_complex",2
"Genetics","GO_BP","Module_91__activity_cyclase",2
"Genetics","GO_BP","Module_9__smoothened_hedgehog",2
"Genetics","KEGG","Module_3__growth_development",2
"Genetics","KEGG","Module_5__adhesion_junction",2
"Genetics","Reactome","Module_233__activated_cancer",2
"Genetics","Reactome","Module_24__muscle_cardiac",2
"Genetics","Reactome","Module_36__assembly_organization",2
"Genetics","Reactome","Module_3__growth_development",2
"Epigenetics","GO_BP","Module_100__activated_receptor",1
"Epigenetics","GO_BP","Module_103__estrogen_response",1
"Epigenetics","GO_BP","Module_104__magnesium_response",1
"Epigenetics","GO_BP","Module_105__autophosphorylation_peptidyl",1
"Epigenetics","GO_BP","Module_107__camera_morphogenesis",1
"Epigenetics","GO_BP","Module_108__lymphocyte_lymphoid",1
"Epigenetics","GO_BP","Module_112__actin_crosslink",1
"Epigenetics","GO_BP","Module_114__development_ectoderm",1
"Epigenetics","GO_BP","Module_115__response",1
"Epigenetics","GO_BP","Module_116__activity_response",1
"Epigenetics","GO_BP","Module_119__hindbrain_migration",1
"Epigenetics","GO_BP","Module_121__derived_factor",1
"Epigenetics","GO_BP","Module_122__proliferation",1
"Epigenetics","GO_BP","Module_125__galactose_metabolic",1
"Epigenetics","GO_BP","Module_126__dehydroascorbic_transport",1
"Epigenetics","GO_BP","Module_127__migration_motor",1
"Epigenetics","GO_BP","Module_130__dephosphorylation_protein",1
"Epigenetics","GO_BP","Module_131__antibiotic_response",1
"Epigenetics","GO_BP","Module_132__development_osteoblast",1
"Epigenetics","GO_BP","Module_133__development_embryonic",1
"Epigenetics","GO_BP","Module_134__activation_fibroblast",1
"Epigenetics","GO_BP","Module_137__cross_linking",1
"Epigenetics","GO_BP","Module_140__chemical_modulation",1
"Epigenetics","GO_BP","Module_142__fatty_response",1
"Epigenetics","GO_BP","Module_143__expression_involved",1
"Epigenetics","GO_BP","Module_144__activation",1
"Epigenetics","GO_BP","Module_145__response_water",1
"Epigenetics","GO_BP","Module_146__coupled_opioid",1
"Epigenetics","GO_BP","Module_147__morphogenesis",1
"Epigenetics","GO_BP","Module_149__arborization_neuron",1
"Epigenetics","GO_BP","Module_150__dendritic_differentiation",1
"Epigenetics","GO_BP","Module_151__growth_hormone",1
"Epigenetics","GO_BP","Module_152__beta1_factor",1
"Epigenetics","GO_BP","Module_155__mediated",1
"Epigenetics","GO_BP","Module_158__response",1
"Epigenetics","GO_BP","Module_159__chemical_modulation",1
"Epigenetics","GO_BP","Module_160__transport_urate",1
"Epigenetics","GO_BP","Module_161__behavior_drinking",1
"Epigenetics","GO_BP","Module_162__calcitonin_family",1
"Epigenetics","GO_BP","Module_163__localization_protein",1
"Epigenetics","GO_BP","Module_165__adult_development",1
"Epigenetics","GO_BP","Module_166__pancreatic_proliferation",1
"Epigenetics","GO_BP","Module_167__response",1
"Epigenetics","GO_BP","Module_168__commissural_guidance",1
"Epigenetics","GO_BP","Module_169__reflex",1
"Epigenetics","GO_BP","Module_170__modification_structure",1
"Epigenetics","GO_BP","Module_171__behavior_motor",1
"Epigenetics","GO_BP","Module_172__inflammatory_involved",1
"Epigenetics","GO_BP","Module_173__receptor",1
"Epigenetics","GO_BP","Module_174__transition",1
"Epigenetics","GO_BP","Module_175__differentiation_immature",1
"Epigenetics","GO_BP","Module_176__oxygen_transport",1
"Epigenetics","GO_BP","Module_178__amide_catabolic",1
"Epigenetics","GO_BP","Module_179__adhesion_epithelial",1
"Epigenetics","GO_BP","Module_180__division",1
"Epigenetics","GO_BP","Module_181__animal_maturation",1
"Epigenetics","GO_BP","Module_182__myoblast_proliferation",1
"Epigenetics","GO_BP","Module_183__contraction_muscle",1
"Epigenetics","GO_BP","Module_185__plasticity_synaptic",1
"Epigenetics","GO_BP","Module_186__behavioral_ethanol",1
"Epigenetics","GO_BP","Module_187__commitment",1
"Epigenetics","GO_BP","Module_188__chemotaxis_muscle",1
"Epigenetics","GO_BP","Module_189__neuropeptide_synaptic",1
"Epigenetics","GO_BP","Module_190__differentiation_fiber",1
"Epigenetics","GO_BP","Module_192__localization_membrane",1
"Epigenetics","GO_BP","Module_193__cytoplasmic_translation",1
"Epigenetics","GO_BP","Module_194__leptin_response",1
"Epigenetics","GO_BP","Module_28__notch",1
"Epigenetics","GO_BP","Module_58__distal_formation",1
"Epigenetics","GO_BP","Module_59__ischemia_response",1
"Epigenetics","GO_BP","Module_67__adhesion_heterotypic",1
"Epigenetics","GO_BP","Module_68__ganglion_guidance",1
"Epigenetics","GO_BP","Module_70__derived_factor",1
"Epigenetics","GO_BP","Module_71__estradiol_response",1
"Epigenetics","GO_BP","Module_73__vasculogenesis",1
"Epigenetics","GO_BP","Module_77__parturition",1
"Epigenetics","GO_BP","Module_81__development_embryonic",1
"Epigenetics","GO_BP","Module_87__forebrain_regionalization",1
"Epigenetics","GO_BP","Module_89__localization_protein",1
"Epigenetics","GO_BP","Module_90__factor_growth",1
"Epigenetics","GO_BP","Module_92__maintenance_population",1
"Epigenetics","GO_BP","Module_93__anatomical_regression",1
"Epigenetics","GO_BP","Module_96__development_midgut",1
"Epigenetics","GO_BP","Module_97__canal_development",1
"Epigenetics","GO_BP","Module_9__smoothened_hedgehog",1
"Epigenetics","KEGG","Module_10__receptor_factor",1
"Epigenetics","KEGG","Module_11__hematopoietic_lineage",1
"Epigenetics","KEGG","Module_12__localization_protein",1
"Epigenetics","KEGG","Module_13__development_neuron",1
"Epigenetics","KEGG","Module_14__cascade_activation",1
"Epigenetics","KEGG","Module_15__transport_assembly",1
"Epigenetics","KEGG","Module_16__response_coagulation",1
"Epigenetics","KEGG","Module_18__response_receptor",1
"Epigenetics","KEGG","Module_19__myocarditis_viral",1
"Epigenetics","KEGG","Module_22__cancer_misregulation",1
"Epigenetics","KEGG","Module_24__muscle_cardiac",1
"Epigenetics","KEGG","Module_25__hippo_multiple",1
"Epigenetics","KEGG","Module_26__cancer_micrornas",1
"Epigenetics","KEGG","Module_27__endocytosis",1
"Epigenetics","KEGG","Module_28__notch",1
"Epigenetics","KEGG","Module_29__activity_cascade",1
"Epigenetics","KEGG","Module_2__muscle_cardiac",1
"Epigenetics","KEGG","Module_30__absorption_digestion",1
"Epigenetics","KEGG","Module_31__complex_polycomb",1
"Epigenetics","KEGG","Module_6__development_differentiation",1
"Epigenetics","KEGG","Module_7__vesicle_synaptic",1
"Epigenetics","KEGG","Module_9__smoothened_hedgehog",1
"Epigenetics","Reactome","Module_228__netrin",1
"Epigenetics","Reactome","Module_229__interleukin",1
"Epigenetics","Reactome","Module_230__lymphoid_between",1
"Epigenetics","Reactome","Module_231__border_neural",1
"Epigenetics","Reactome","Module_3__growth_development",1
"Epigenetics","Reactome","Module_55__nerve_development",1
"Epigenetics","Reactome","Module_7__vesicle_synaptic",1
"Epigenetics","Reactome","Module_85__response_acidic",1
"Genetics","GO_BP","Module_101__epinephrine_response",1
"Genetics","GO_BP","Module_105__autophosphorylation_peptidyl",1
"Genetics","GO_BP","Module_163__localization_protein",1
"Genetics","GO_BP","Module_183__contraction_muscle",1
"Genetics","GO_BP","Module_203__ncrna_processing",1
"Genetics","GO_BP","Module_206__migration_nuclear",1
"Genetics","GO_BP","Module_208__microautophagy",1
"Genetics","GO_BP","Module_209__autophagy_chaperone",1
"Genetics","GO_BP","Module_211__heterochromatin_organization",1
"Genetics","GO_BP","Module_212__desmosome_organization",1
"Genetics","GO_BP","Module_213__protein_ribosylation",1
"Genetics","GO_BP","Module_214__modification_protein",1
"Genetics","GO_BP","Module_216__epsilon_receptor",1
"Genetics","GO_BP","Module_217__chain_fatty",1
"Genetics","GO_BP","Module_218__replicative_senescence",1
"Genetics","GO_BP","Module_219__branching_morphogenesis",1
"Genetics","GO_BP","Module_221__polymerase_transcription",1
"Genetics","GO_BP","Module_222__behavior_chemosensory",1
"Genetics","GO_BP","Module_223__dependent_migration",1
"Genetics","GO_BP","Module_224__deacetylation_protein",1
"Genetics","GO_BP","Module_225__catabolic_decay",1
"Genetics","GO_BP","Module_226__endosomal_fusion",1
"Genetics","GO_BP","Module_227__epidermal_factor",1
"Genetics","GO_BP","Module_35__secretion_protein",1
"Genetics","GO_BP","Module_51__response_compound",1
"Genetics","GO_BP","Module_60__metabolic_catabolic",1
"Genetics","GO_BP","Module_61__activity_factor",1
"Genetics","GO_BP","Module_64__renal_transport",1
"Genetics","GO_BP","Module_68__ganglion_guidance",1
"Genetics","KEGG","Module_12__localization_protein",1
"Genetics","KEGG","Module_15__transport_assembly",1
"Genetics","KEGG","Module_16__response_coagulation",1
"Genetics","KEGG","Module_196__alanine_aspartate",1
"Genetics","KEGG","Module_197__mediated_proteolysis",1
"Genetics","KEGG","Module_198__transport_intracellular",1
"Genetics","KEGG","Module_21__transport_lipid",1
"Genetics","KEGG","Module_2__muscle_cardiac",1
"Genetics","KEGG","Module_30__absorption_digestion",1
"Genetics","Reactome","Module_20__glycosylation_biosynthetic",1
"Genetics","Reactome","Module_228__netrin",1
"Genetics","Reactome","Module_234__cadherins_classical",1
"Genetics","Reactome","Module_235__anchoring_basal",1
